evidence_id,captured_at,source_type,canonical_url,title,published_at,deployment,author_type,public_role,likely_persona,artifact_type,verbatim_excerpt_max_25_words,original_problem_language,normalized_jtbd,trigger,desired_outcome,current_workaround,dissatisfaction,interaction_required,capability_requirements,disqualifiers,solution_mentioned,adoption_or_result,willingness_signal,engagement_metadata,vendor_authored,duplicate_group,qualification_status,exclusion_reason,relevance_0_5,confidence,jtbd_cluster,notes
E-035,2026-08-02,other,https://jira.atlassian.com/browse/CONFCLOUD-75473,Add Decision Tree functionality to a page | Confluence Cloud,unknown,cloud,user,unknown,Support content owner / SOP author on Confluence Cloud,feature_request,decision trees can greatly streamline complex support articles along with SOPs,complex support articles along with SOPs,"When I maintain complex support articles and SOPs in Confluence Cloud, I want native decision-tree functionality on a page, so readers follow only the branch that applies to them.",Support articles and SOPs too complex to present linearly,Decision tree as a first-class page feature in Confluence Cloud,unknown,Absence of the capability is itself the complaint — the request exists because nothing native does it,Reader-driven branch selection,"branching logic on a page; native or app-provided, Cloud-compatible",none observed,"Native Confluence Cloud feature (requested, not shipped)",Ticket remains an open suggestion on Atlassian's public tracker as far as the snippet shows,Filed a public suggestion ticket — active enough to lobby Atlassian directly,VOTE COUNT NOT VISIBLE — jira.atlassian.com was not fetchable and the search summary explicitly stated the vote count was not in the results. Do not cite a number for this ticket without re-checking.,no,,qualified,,4,observed-in-search-snippet,J05,"Valuable because it is demand aimed at ATLASSIAN rather than at the Marketplace — evidence the gap is perceived as a platform hole, and confirmation Atlassian has not filled it. Excerpt is from the ticket description as rendered in the search summary. Deployment=cloud is certain: CONFCLOUD is the Confluence Cloud project key. Vote count is the single most useful missing datum here; flagging for a "
E-036,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Add-simple-interactive-formula/qaq-p/2539196,Add simple interactive formula - Confluence,unknown,unknown,user,unknown,Business/ops user building a small reckoner for colleagues,question,you can't have simple interactive formulas because Confluence is a wiki application and not a Spreadsheet application,formula like [A] + [B] = where users could input values for A and B to get a calculated result,"When I put a formula on a Confluence page, I want readers to type their own values into inputs and see the computed result immediately, so the page works as a calculator rather than a static description of a calculation.",Needs a reader-operated calculation on a page,Live inputs producing a computed output on the page,Third-party spreadsheet-style apps (Elements Spreadsheet with the Project Table macro was recommended),"Flatly refused as out of scope for a wiki; the offered substitute is a spreadsheet grid, not a purpose-built calculator UI","Type values into inputs, read computed output",reader-editable input fields; client-side computation; result rendered without saving the page or entering edit mode,none observed if the calculation is self-contained; would disqualify only if inputs must persist back into Confluence content,Elements Spreadsheet / Project Table macro; various Marketplace calculation plugins,unknown,unknown,not visible in snippet,no,,qualified,,4,observed-in-search-snippet,J06,"The 'Confluence is a wiki, not a spreadsheet' answer is the canonical brush-off pattern across every calculator thread I found, and it is worth quoting in the brief as the incumbent framing the product has to displace. IMPORTANT: original_problem_language here is the search backend's reconstruction — it was introduced with 'The original question appears to have been about', so treat the '[A] + [B]"
E-037,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Calculations-formulas-in-confluence-page-that-changes/qaq-p/2166226,Calculations/formulas in confluence page that changes dynamically,unknown,unknown,user,unknown,Business user maintaining a numbers page,question,"Calculations are not possible natively in Confluence. However, there are a lot of apps in the marketplace that will provide the same.",Calculations/formulas in confluence page that changes dynamically,"When my Confluence page contains figures that depend on each other, I want the values to recalculate dynamically, so the page stays correct without manual re-entry.",Page figures go stale because nothing recomputes them,Formulas on the page that update dynamically,"Marketplace apps — Table Filter and Charts (Table Transformer / Table Spreadsheet macros), embedding an Excel file via the Excel macro, Simple Tables calculated columns",Nothing native; every route is a paid third-party app and most are table/spreadsheet shaped rather than free-form,Values update as inputs change,dynamic recomputation on a page; not restricted to a table grid,PARTIAL DISQUALIFIER: much of this demand is table-shaped and is well served by existing table/spreadsheet apps; only the free-form calculator slice maps to a static-bundle mini-site,"Table Filter and Charts for Confluence, Elements/Excel embedding, Simple Tables",unknown,unknown,not visible in snippet,no,,qualified,,4,observed-in-search-snippet,J06,"Include mainly as VOLUME evidence that 'no native calculation' is a standing, repeatedly-asked gap — this exact question recurred across at least six distinct thread URLs in my sweep (1641392, 1008146, 2502728, 3123536, 3223295, 2166226). But read the disqualifier: the incumbent table-app answer is strong here, so this is a weaker wedge than the decision-tree/prototype threads. Excerpt is a respon"
E-038,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Does-confluence-support-if-then-logic-on-data-fields/qaq-p/2097047,Does confluence support if/then logic on data fields?,unknown,unknown,user,unknown,Process owner building a form-like or conditional page,question,"out of the box Confluence task lists don't support this functionality, and this kind of work is normally intended for Jira",if/then logic on data fields,"When I build a page with data fields, I want if/then logic so fields and sections react to earlier entries, so the page adapts instead of showing everything to everyone.",Wants a page whose content responds conditionally to entered data,Conditional display/behaviour driven by field values,"ScriptRunner scripting (Server/DC only), Automation for Jira, or ProForma forms for show/hide of form sections",Answer redirects the user out of Confluence entirely — 'that's a Jira thing' — rather than solving it on the page,"Enter/select a value, page reveals or hides dependent content",conditional show/hide within a page; logic evaluated client-side; no admin scripting engine required,none observed for self-contained logic; disqualifying if the fields must be Confluence-native stored data,"ScriptRunner, Automation for Jira, ProForma conditional sections; Confluence Databases confirmed as NOT supporting conditional logic",unknown,unknown,not visible in snippet,no,,qualified,,4,observed-in-search-snippet,J06,"Useful for the brief because the answer pattern is deflection-to-Jira, which leaves the on-page job unsolved — a positioning opening. Also captured alongside this: the search summary stated Confluence Databases do not support conditional logic, e.g. 'show this field only if referenced as critical', corroborating that the newer native Databases feature does NOT close this gap. Excerpt is a responde"
E-039,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Atlassian-Cloud-how-to-add-custom-javascript-or-html-for-an/qaq-p/941069,Atlassian Cloud - how to add custom javascript or html for an embedded iframe,unknown,cloud,user,unknown,Confluence Cloud admin or power user migrating Server-era habits,question,Confluence Cloud does not offer native HTML and Javascript support without the addition of Add-On to Confluence,add custom javascript or html for an embedded iframe,"When I need custom HTML and JavaScript inside an embedded frame on a Confluence Cloud page, I want a supported way to add it, so I can put custom interactive content on the page.",Wants custom JS/HTML on a Cloud page and finds no native route,Custom HTML/JS rendering inside a Confluence Cloud page,Install one of the Marketplace HTML/iframe add-ons,Requires buying an add-on for what was native on Server; no first-party path exists,Whatever the embedded custom code provides,custom HTML + JS execution on Cloud; sandboxed/iframe delivery,none observed,Marketplace add-ons enabling HTML and JavaScript — the responder counted five at the time,unknown,Accepts that an add-on purchase is the route,not visible in snippet,no,D-06,excluded_duplicate,same underlying request as first-listed member of D-06,4,observed-in-search-snippet,J02,"MARKET-SIZE MARKER: 'a quick marketplace search shows there are 5 possible add-ons which enable HTML and Javascript' — a dated competitive count from the answer, useful for showing the category existed and has since grown (my marketplace query surfaced at least six distinct HTML/iframe listings: 1221472, 1235901, 1670180315, 1215813, 1231085, 1238347). Excerpt is a responder sentence. deployment=c"
E-040,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Adding-HTML-Directly-in-Confluence-Pages/qaq-p/3240107,Solved: Adding HTML Directly in Confluence Pages,unknown,cloud,user,unknown,Confluence Cloud user with existing custom-HTML pages,complaint,"In Confluence Cloud, the HTML macro is not available by default and generally cannot be enabled due to Atlassian's security policies","why the ability to add HTML directly into Confluence pages disappeared, questioning whether it was removed intentionally","When I previously added HTML directly to a Confluence page and that ability disappeared, I want to know whether it was removed on purpose and what replaces it, so I can restore my page's custom content.",A previously working capability vanished from the user's instance,"Get direct HTML back on the page, or a supported equivalent","iframes via the Embed macro, or third-party tools that generate embeddable content",Capability regression with no first-party replacement; user has to discover the removal by hitting it,unknown,"custom HTML on a Cloud page; supported and durable, not a legacy macro that can be withdrawn",none observed,Embed macro with iframes; third-party embeddable-content tools,Thread is marked Solved,unknown,marked Solved; counts not visible,no,D-01,excluded_duplicate,same underlying request as first-listed member of D-01,4,observed-in-search-snippet,J02,"MOST RECENT artifact in this set by thread ID (~3.24M), so the best evidence that this gap is live TODAY and not a legacy Server-era grievance — worth weighting accordingly. CAVEAT ON THE EXCERPT: this sentence appeared in the search backend's summary for the cluster containing this thread, and I could not confirm it is a reply in THIS thread rather than backend synthesis drawn from adjacent docum"
E-041,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Host-the-website-html-pages-in-confluence/qaq-p/1086022,Host the website(html pages) in confluence,unknown,server,user,unknown,Confluence Server administrator,question,"For Confluence, the HTML files have to be added to the file system, there is no way to upload in the UI",Host the website(html pages) in confluence,"When I have a set of website HTML pages, I want to host and serve them from Confluence itself, so my team reaches them at a Confluence URL instead of standing up separate hosting.",Wants Confluence to act as the host for a small internal site,HTML pages served and rendered from Confluence,Dropping a folder into /opt/atlassian/confluence/confluence/ on the server filesystem; the user reported the page source was visible but not rendered properly,"Filesystem hosting requires server access, has no UI path, and — per the official KB — bypasses Confluence session and permissions entirely, so files are reachable by URL with no login",Browsing the hosted pages,serve multi-file static HTML; no server filesystem access required; permission-inheriting rather than publicly reachable,"Server/DC context, so not directly a Cloud lead — but the underlying job is identical",Atlassian KB 'How to Use Confluence to Serve Static Content'; related bug CONFSERVER-53166 'Confluence does not render static HTML Files',Workaround did not render correctly for this user,unknown,not visible in snippet,no,D-10,qualified,,4,observed-in-search-snippet,J01,"STRONGEST SECURITY-ANGLE EVIDENCE in the sweep: the official KB route explicitly states Confluence session and permissions do NOT apply to statically served files and they are reachable by URL without login. That is precisely the failure mode the product's permission-inheriting design closes, so this artifact is worth citing for positioning even though it is Server-side and old. deployment=server "
E-042,2026-08-02,other,https://community.developer.atlassian.com/t/how-to-render-user-inputted-html-in-confluence-macro-using-forge-for-cloud-development/68509,How to Render User Inputted HTML in Confluence Macro Using Forge for Cloud Development,unknown,cloud,user,unknown,Forge app developer,question,How to Render User Inputted HTML in Confluence Macro Using Forge for Cloud Development,Render User Inputted HTML in Confluence Macro,"When I build a Confluence Cloud macro on Forge, I want to render HTML that the end user supplies, so the macro can display arbitrary user-authored markup on the page.",Building a Forge app that must display user-supplied HTML,User-supplied HTML renders safely inside a Forge macro,"Custom UI, where module content is displayed inside a special Forge iframe with the sandbox attribute configured",The Forge sandbox constrains what user-supplied HTML can do — the search summary noted HTML links inside the Forge iframe are not clickable and require the router.navigate API from @forge/bridge,Whatever the user's HTML implements,render arbitrary user HTML; sandboxed execution; link navigation working inside the sandbox,BUILD-VS-BUY: this developer is constructing the competing capability in-house rather than seeking a product,"Forge Custom UI with static resources (HTML, CSS, JavaScript, images) hosted by the Forge platform",unknown,Actively building the capability themselves,not visible in snippet,no,D-11,qualified,,4,observed-in-search-snippet,DIY,"BUILD-SIDE COUNTERWEIGHT: recorded because it shows developers hitting the exact technical problems this product solves — sandboxing user HTML, and the Forge-iframe link/navigation constraint requiring router.navigate. That link-clickability constraint is a concrete implementation gotcha worth carrying into the brief. Excerpt is the thread TITLE, which I observed verbatim in search results; I did "
E-043,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Dynamic-decision-trees/qaq-p/384000,Dynamic decision trees,unknown,unknown,user,unknown,Cost-conscious Confluence author,counterevidence,"By using expand within expand within expand, you can create several levels of the tree",Dynamic decision trees,"When I want a branching guide in Confluence, I want to build it from stock macros I already have, so I avoid buying an app for a one-off need.",Needs a branching guide without purchasing anything,A usable multi-level tree built from native Confluence macros,Nested Expand macros — expand within expand within expand — to fake tree depth,"Partially satisfied: it works structurally but is not dynamic, and one discussion in this cluster noted the limitation that an Expand macro could not be nested inside another, while current documentation says nesting is now supported",Click to expand successive levels,"multi-level branching presentation; zero cost, no app install",N/A — recorded as counterevidence,"Nested Expand macros (free, native); Confluence whiteboards were also raised elsewhere as a native visual-mapping route",Adopted as a good-enough free native workaround by at least some users,NEGATIVE — this user explicitly routes around paying for an app,not visible in snippet,no,,qualified_counterevidence,,4,observed-in-search-snippet,J05,"COUNTEREVIDENCE, deliberately included: the free nested-Expand pattern is the single most common 'good enough' substitute and it caps willingness to pay for simple trees. The honest read is that it satisfies PRESENTATION but not LOGIC — cross-reference thread 2709998 in this set, where the same workaround is rejected because the blocks 'stay static and won't influence each other'. Also note Atlass"
E-044,2026-08-02,marketplace_review,https://marketplace.atlassian.com/apps/1235901/html-macro-pro-for-confluence-free-embed-html-and-iframes,HTML Macro Pro for Confluence FREE - Embed HTML and iframes,unknown,cloud,vendor,unknown,N/A,counterevidence,HTML Macro Pro for Confluence FREE - Embed HTML and iframes,Embed HTML and iframes,"When I need custom HTML, JS or an iframe on a Confluence Cloud page, I want a free Marketplace app that does it, so I get the capability without a budget request.","N/A — competitive listing, not a user post",Custom HTML/CSS/JS and iframes on Confluence Cloud pages at zero cost,N/A,N/A,N/A,single-snippet HTML/CSS/JS embedding; iframe embedding; CSP/trusted-domain controls,N/A — recorded as competitive counterevidence,"Free HTML/iframe macro apps. At least two free listings surfaced: this one (1235901) and HTML Macro for Confluence (Free) (1670180315). Paid/rated ones include HTML Macro for Confluence (1221472), Iframes for Confluence (1215813), HTML Macro (1231085), Custom HTML and iFrame Embedder (1238347)",unknown — no install counts or ratings were visible,NEGATIVE for the single-file case — a free tier exists,"NO review text, ratings, or install counts were retrievable — marketplace.atlassian.com was not fetched per the blocked-domain policy",yes,,excluded_from_demand,"vendor-authored: competitive/positioning context, not independent demand",2,observed-in-search-snippet,J02,"COMPETITIVE COUNTEREVIDENCE and the sharpest strategic caution in this brief: the single-snippet HTML/JS embed job is already commoditised, with free options. The defensible differentiation is therefore NOT 'run HTML in Confluence' — it is the multi-file folder/bundle case (see artifact 2806119), permission inheritance (see artifact 1086022, where the native route leaks files publicly), and secret"
E-045,2026-08-02,atlassian_community,https://community.atlassian.com/t5/App-Central/Decision-tree-driven-content-A-fresh-approach-to-Confluence/m-p/2633521,Decision tree-driven content: A fresh approach to Confluence navigation!,unknown,cloud,vendor,unknown,N/A,feature_request,"helping users see the right content, in the right order",navigating multiple interlinked Confluence pages,"When users must navigate multiple interlinked Confluence pages to complete a process, I want the content organised into a branching guide with clear logical steps, so they see the right content in the right order.",N/A — vendor launch announcement,Branching guided pathways through existing Confluence content,N/A,N/A,Step-by-step guided navigation,branching guides over existing pages; step sequencing,"N/A — competitive context, not demand","Guided Pathways for Confluence by Kolekti (Adaptavist), Marketplace listing 1232574",unknown — no install or rating data visible,N/A,not visible in snippet,yes,,excluded_from_demand,"vendor-authored: competitive/positioning context, not independent demand",2,observed-in-search-snippet,J05,"VENDOR-AUTHORED, NOT A DEMAND ARTIFACT — recorded strictly as competitive context and clearly flagged. Two things make it useful. First, an established vendor (Adaptavist's Kolekti) has productised the decision-tree job, validating the demand and naming the buyer segments: onboarding, escalation policies, ITSM runbooks, and disaster recovery. Second, this app is the answer now recommended in the c"
E-046,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Adding-HTML-Directly-in-Confluence-Pages/qaq-p/3240107,Solved: Adding HTML Directly in Confluence Pages,unknown,cloud,user,unknown,Confluence Cloud page author / space admin migrating expectations from Server,question,Marketplace apps handle this safely via a sandboxed iframe.,why the ability to add HTML directly into Confluence pages disappeared and whether it was removed on purpose,"When I want to put custom HTML on a Confluence Cloud page, I want a supported way to do it, so I can stop hunting for a feature that was silently removed.",User went looking for the native HTML capability they expected and found it gone; asked whether the removal was deliberate.,Add custom HTML/CSS/JS to a Cloud page without an unsupported hack.,Third-party Marketplace macro apps that wrap content in a sandboxed iframe (HTML by Mosaic named in replies).,Capability vanished with no in-product explanation; the only path forward is a paid third-party app.,unknown,render arbitrary HTML/CSS/JS inline on a Cloud page; sandboxed execution acceptable to Atlassian's XSS posture,none observed,HTML by Mosaic; sandboxed-iframe Marketplace macros generally,"Marked Solved; resolution was to buy a Marketplace app, not a native fix.",unknown,unknown,no,D-01,excluded_duplicate,same underlying request as first-listed member of D-01,4,observed-in-search-snippet,J02,"STRONGEST single fit for Mini Sites' positioning. Replies articulate the exact market rationale the product depends on: Atlassian will not ship this natively without sandboxing, so a sandboxed app is the only category that can serve it. Also confirms DC's HTML macro is off by default. CAVEAT: excerpt is from the search backend's summary of the reply, not a rendered quote; the OP's own wording is p"
E-047,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Confluence-Cloud-Static-HTML-Content/qaq-p/2619230,Solved: Confluence Cloud - Static HTML Content,unknown,cloud,user,unknown,Developer or tech lead with an existing React build wanting to publish it internally,question,The HTML macro is no longer available on cloud instances due to security reasons.,trying to export React UI pages as HTML content to Confluence Cloud,"When I have a React UI exported as static HTML, I want to surface it inside Confluence Cloud, so I can share a working interface with my team where the docs already live.",User had already built and exported React UI pages as HTML and hit a wall getting them into Cloud.,Static HTML output of a real front-end app rendering on a Confluence Cloud page.,None working; advised to use a Marketplace app or build a bespoke Forge app.,Legacy HTML macro removed; remaining options are buy an app or become a developer.,unknown,host built front-end artifacts (multi-file static output); render inline on a Confluence Cloud page,none observed — a React build output is exactly the multi-file bundle shape Mini Sites ingests,Third-party Marketplace macro; building a custom Forge app (noted as React-based),"Marked Solved; the community's advice was 'build your own Forge app', which is a strong signal the packaged-product gap is real.",unknown,unknown,no,D-08,excluded_duplicate,same underlying request as first-listed member of D-08,4,observed-in-search-snippet,J04,"Highest-value JTBD match in the set: React build output = multi-file bundle, which is precisely Mini Sites' input format and is NOT served by single-textarea HTML-macro apps. The fact that the accepted answer was 'write your own Forge app' quantifies the unserved gap. Excerpt is the reply's stated reason, observed in the summary. No date visible."
E-048,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/How-to-upload-a-HTML-files-project-folder-with-sub-pages-and/qaq-p/2806119,How to upload a HTML files project folder with sub pages and supporting images to a confluence,unknown,unknown,user,unknown,Docs owner or engineer with generated/legacy static site output,question,you can't directly upload HTML files unless you create a conversion tool,HTML files project folder with sub pages and supporting images,"When I have a project folder of HTML with sub-pages and supporting images, I want to upload the whole folder to Confluence, so I can keep the site's internal links and assets intact.",User holds a complete HTML project folder (sub-pages + images) and needs it inside Confluence as a unit.,"The folder published intact, with sub-page navigation and image references still resolving.",Confluence Cloud HTML Importer (zip upload) which converts files into separate Confluence pages; or manual copy-paste plus post-migration link fixing.,"The native importer destroys the site — it converts HTML into Confluence pages, drops unsupported media, and breaks links, rather than serving the folder as a site.",Sub-page navigation within the bundle,multi-file folder upload preserving structure; relative-path asset and link resolution; serve as a site rather than convert to wiki pages,none observed,Spaces > Import from other tools > HTML zip; copy-paste migration,No clean answer; all suggested paths degrade the artifact.,unknown,unknown,no,D-02,excluded_duplicate,same underlying request as first-listed member of D-02,4,observed-in-search-snippet,J01,Best evidence for the FOLDER-not-snippet distinction that separates Mini Sites from every HTML-macro competitor. Note the key insight buried in the answers: Atlassian's own HTML Importer solves a DIFFERENT job (convert HTML into wiki pages) than the one asked (serve a folder as a live site) — that mismatch is the wedge. Excerpt observed in summary of the answers. No date visible.
E-049,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Render-HTML/qaq-p/2421345,Render HTML - Confluence,unknown,unknown,user,unknown,Page author with hand-written interactive HTML,question,the only way to add that type of content is through iframes,pasting HTML code with CSS and JavaScript popups into Confluence to have it render like a browser would,"When I paste HTML with CSS and JavaScript popups into Confluence, I want it to render the way a browser would, so I can show interactive content instead of raw markup.","User pasted working HTML/CSS/JS into a page and got inert markup instead of a rendered, interactive result.",Interactive content (JS-driven popups) behaving on the page as it does in a browser.,iframe pointing at externally hosted content.,Requires standing up external hosting for what should be page content; JS is the specific blocker.,JavaScript-driven popups / interactivity,execute JavaScript in-page; no external hosting prerequisite,none observed,iframe macro; an unnamed HTML macro app,Answer confirms no native path; iframe + external hosting is the ceiling.,unknown,unknown,no,D-03,excluded_duplicate,same underlying request as first-listed member of D-03,4,observed-in-search-snippet,J02,"Captures the 'I must go rent hosting to show a popup' friction that Mini Sites removes by hosting the bundle itself. The OP description is the search backend's paraphrase and is stored in original_problem_language; the verbatim field holds the answer's wording, which is what I actually saw rendered. No date visible."
E-050,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/is-it-possible-to-render-a-html-document-page-in-Confluence-that/qaq-p/2380173,is it possible to render a html document page in Confluence that generated using techdocs and stored,unknown,unknown,user,unknown,Platform/DevEx engineer running a docs-as-code (Backstage TechDocs) pipeline,question,Confluence can automatically create a page for that document using the generated HTML files on S3,html document page ... generated using techdocs and stored,"When my toolchain generates HTML docs into S3, I want Confluence to render them on a page automatically, so readers get current docs without a manual re-publish.",Automated techdocs pipeline emits HTML to S3; the last mile into Confluence is manual or missing.,"Generated docs rendering in Confluence, ideally kept in sync with the generator.","HTML macro app rendering from a page attachment, or referencing the S3 URL from an iframe/macro (needs access config).",No first-class path from a CI docs pipeline to a rendered Confluence page.,unknown,render generated multi-file HTML output; ideally programmatic/automated publish,PARTIAL — the S3-backed 'stays automatically in sync' framing implies pull-from-remote or an authenticated publish API; a manual folder upload only covers the render half of this job,HTML Macro for Confluence (attachment rendering); remote-URL rendering,unknown,unknown,unknown,no,,qualified,,4,observed-in-search-snippet,J01,"Adjacent-but-instructive: the render need matches Mini Sites, the sync need does not. Worth carrying into the brief as an explicit scope boundary (and a possible CI-publish roadmap signal) rather than as a clean win. Excerpt observed in summary. No date visible."
E-051,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Using-iframe-macro-for-grafana-dashboard/qaq-p/2542828,Solved: Using iframe macro for grafana dashboard,unknown,unknown,user,unknown,SRE / platform engineer building a runbook or ops page,complaint,the dashboard was not loading and resulted in a blank space,dashboard was not loading and resulted in a blank space,"When I want a Grafana dashboard visible on a Confluence page, I want the embed to actually render, so my team sees metrics next to the runbook instead of an empty box.",Used the supported native iframe macro; got a blank region with no error surfaced in-product.,A live dashboard panel rendering inline on the page.,"Debug X-Frame-Options in DevTools, then ask the Grafana owners to change server headers to permit framing.",The fix is not available to the person with the problem — it requires modifying a third-party system's response headers.,Live dashboard interaction,embed that does not depend on the target site permitting framing,"YES — needs live authenticated data from an external system; Mini Sites' sandbox has no outbound network access, so this job is only served by shipping a static JSON snapshot in the bundle",Grafana allow_embedding config; X-Frame-Options inspection,"Marked Solved, but the resolution is 'go change Grafana's headers' — the user's own instance was never fixable from Confluence.",unknown,unknown,no,D-09,excluded_duplicate,same underlying request as first-listed member of D-09,4,observed-in-search-snippet,J08,"Recorded because it maps the BOUNDARY of the opportunity, not the opportunity itself. Live-data dashboards are a large, visible, recurring Confluence pain that Mini Sites structurally cannot serve. Useful as an anti-positioning guardrail so the brief does not overclaim the dashboard segment. Excerpt observed in summary. No date visible."
E-052,2026-08-02,other,https://community.developer.atlassian.com/t/grafana-dashboard-integration/41842,Grafana dashboard integration - Confluence Cloud - The Atlassian Developer Community,unknown,cloud,user,unknown,App developer / internal tooling engineer on the Atlassian developer community,question,Confluence users need to be OAuth2-authorized to fetch dashboards from Grafana,macro/gadget to integrate Grafana dashboards (only accessible with OAuth2),"When our dashboards sit behind OAuth2, I want a Confluence macro that authorizes the viewing user, so each reader sees data they are actually entitled to.",Developer attempting to build a macro/gadget and blocked on both per-user auth and iframe restrictions.,Per-viewer authorized dashboard rendering inside Confluence.,Building a bespoke integration; blocked on xframe inclusion and session management.,No off-the-shelf app handles per-user OAuth2 plus framing constraints together.,Authenticated live dashboard,per-user OAuth2 token exchange; session management across the frame boundary,YES — hard disqualifier. Requires authenticated outbound API calls and per-user session propagation; explicitly outside a no-network static sandbox,unknown,unknown,Building custom — real effort already committed,unknown,no,,qualified,,4,observed-in-search-snippet,J08,Deliberately included as a clean negative example so the pipeline can separate 'static bundle' demand from 'authenticated live integration' demand — these two get conflated in every generic 'embed things in Confluence' search. No author handle or date visible in the summary.
E-053,2026-08-02,other,https://community.developer.atlassian.com/t/how-to-render-user-inputted-html-in-confluence-macro-using-forge-for-cloud-development/68509,How to Render User Inputted HTML in Confluence Macro Using Forge for Cloud Development,2023-04-14,cloud,user,unknown,"Forge app developer, likely building an internal tool",question,the page was displaying the HTML directly rather than rendered,render HTML input from a user on a page in a Confluence macro developed using Forge,"When I build a Forge macro that accepts user HTML, I want it to render rather than print as text, so my macro behaves like the HTML macro people expect.","Developer built a Forge macro, fed it user HTML, and got escaped markup on the page.",User-supplied HTML rendering correctly inside a Forge macro.,AdfRenderer from @forge/react; requestConfluence() to convert content via REST.,Forge's default rendering path escapes HTML; achieving browser-like rendering is non-obvious.,unknown,render raw HTML inside a Forge macro,none observed,@forge/react AdfRenderer; Confluence REST conversion API,unknown,Building their own app rather than buying — evidence the buy option was not visible or not trusted,unknown,no,D-11,excluded_duplicate,same underlying request as first-listed member of D-11,4,observed-in-search-snippet,DIY,"One of only four artifacts in this set with an OBSERVED date (14 Apr 2023) — inside the 36-month window relative to the assumed 2026-08-02 capture date, so historical=false. Value to the brief: independent confirmation that developers reach for build-it-yourself, which is both a competitive threat and proof the packaged option lacks awareness. No author handle visible."
E-054,2026-08-02,atlassian_community,https://community.atlassian.com/forums/Confluence-questions/Conf-was-able-to-show-an-embedded-frame-for-Figma-links-why-now/qaq-p/3144500,"Conf. was able to show an embedded frame for Figma links, why now it looks like a ticket?",2025-10 (approx; thread references a mid-October 2025 platform change),cloud,user,unknown,Designer or PM running design review in Confluence,counterevidence,"starting from the previous week, the view changed to cards/tickets style","was able to show an embedded frame for Figma links, why now it looks like a ticket","When I put a design link on a page, I want the live interactive embed I had before, so reviewers can click through the prototype instead of seeing a link card.",Atlassian changed Figma smart links to default to card view; the user's existing embedded prototypes silently degraded.,Interactive embedded frame restored on the page.,Set 'Display as' > Embed per link; or fall back to the iframe macro with Figma's copy-embed code.,A working native capability regressed without notice and had to be re-applied per link.,Clickable prototype interaction,stable interactive inline embed that does not silently degrade,PARTIAL — for hosted third-party design tools the native smart link is free and adequate when it works; this competes with Mini Sites only for self-hosted/exported prototypes,Smart Links display-as-Embed; iframe macro + Figma embed code,"Resolved by re-selecting Embed display mode — native path recovered, no app purchased.",unknown,unknown,no,,qualified_counterevidence,,4,observed-in-search-snippet,J10,"COUNTEREVIDENCE, and the most important one here: for the clickable-prototype use case, hosted SaaS tools (Figma) are already served free by native smart links. Mini Sites' prototype angle is therefore only defensible for EXPORTED/self-contained prototypes with no SaaS host. Also documents that native embed behaviour is unstable across platform changes — a secondary reliability argument. Date is i"
E-055,2026-08-02,other,https://jira.atlassian.com/browse/CONFCLOUD-27141,Support simple user macros in Confluence Cloud,created 05/Nov/2012; last updated 20/Aug/2025,cloud,user,unknown,Confluence Cloud admins migrated from Server,feature_request,"The Confluence Cloud environment does not currently support user macros, although templates are supported.",Support simple user macros in Confluence Cloud,"When I need reusable custom markup across pages, I want user macros in Cloud like Server had, so I can standardise custom content without buying an app.","Server/DC parity gap: user macros exist there, not in Cloud.",User-defined macros producing custom markup in Cloud.,Templates (an inadequate substitute); Marketplace apps.,Open and unresolved for well over a decade with sustained vote accumulation.,unknown,reusable user-defined custom markup in Cloud,"PARTIAL — user macros are about reusable templated markup, a narrower and different job than publishing a multi-file interactive site",Templates; Marketplace apps,Still open; no native implementation.,"66 votes / 59 watchers — sustained, if modest, demand","66 votes, 59 watchers (observed); created 05/Nov/2012, updated 20/Aug/2025",no,,qualified,,4,observed-in-search-snippet,J03,"Only artifact in the set with hard engagement numbers. historical=true because it originated in 2012, but the 20/Aug/2025 update shows it is still live — the durability of the Cloud-vs-Server customisation gap is the point, not the raw vote count. Relevance to Mini Sites is INDIRECT; do not present 66 votes as demand for this product."
